sex,length_standardized,length_mm,diameter_standardized,diameter_mm,height_standardized,height_mm,whole_weight_standardized,whole_weight_g,no_rings,age_years
F,0.405,81,0.325,32.5,0.11,22,0.3555,71.1,9,10.5
M,0.375,75,0.285,28.5,0.095,19,0.253,50.6,9,10.5
F,0.565,113,0.445,44.5,0.155,31,0.826,165.2,10,11.5
F,0.55,110,0.45,45,0.145,29,0.741,148.2,10,11.5
M,0.65,130,0.52,52,0.19,38,1.3445,268.9,16,17.5
M,0.56,112,0.455,45.5,0.155,31,0.797,159.4,11,12.5
M,0.475,95,0.375,37.5,0.13,26,0.5175,103.5,10,11.5
F,0.49,98,0.38,38,0.125,25,0.549,109.8,10,11.5
M,0.46,92,0.35,35,0.12,24,0.515,103,10,11.5
I,0.28,56,0.205,20.5,0.08,16,0.127,25.4,9,10.5
I,0.175,35,0.13,13,0.055,11,0.0315,6.3,5,6.5
I,0.17,34,0.13,13,0.095,19,0.03,6,4,5.5
M,0.59,118,0.475,47.5,0.145,29,1.053,210.6,15,16.5
F,0.605,121,0.5,50,0.185,37,1.1185,223.7,9,10.5
F,0.635,127,0.515,51.5,0.19,38,1.3715,274.3,10,11.5
F,0.605,121,0.485,48.5,0.16,32,1.0565,211.3,10,11.5
F,0.565,113,0.45,45,0.135,27,0.9885,197.7,12,13.5
M,0.515,103,0.405,40.5,0.13,26,0.722,144.4,10,11.5
F,0.575,115,0.46,46,0.19,38,0.994,198.8,13,14.5
M,0.645,129,0.485,48.5,0.215,43,1.514,302.8,16,17.5
F,0.58,116,0.455,45.5,0.17,34,0.9075,181.5,13,14.5
F,0.575,115,0.46,46,0.165,33,1.124,224.8,13,14.5
M,0.605,121,0.465,46.5,0.165,33,1.056,211.2,13,14.5
F,0.605,121,0.485,48.5,0.16,32,1.222,244.4,13,14.5
M,0.61,122,0.485,48.5,0.175,35,1.2445,248.9,12,13.5
F,0.725,145,0.56,56,0.21,42,2.141,428.2,18,19.5
F,0.65,130,0.545,54.5,0.23,46,1.752,350.4,16,17.5
M,0.725,145,0.57,57,0.19,38,2.55,510,14,15.5
F,0.725,145,0.575,57.5,0.175,35,2.124,424.8,20,21.5
F,0.68,136,0.57,57,0.205,41,1.842,368.4,20,21.5
M,0.705,141,0.56,56,0.22,44,1.981,396.2,14,15.5
F,0.68,136,0.515,51.5,0.175,35,1.6185,323.7,12,13.5
M,0.695,139,0.55,55,0.215,43,1.9565,391.3,14,15.5
F,0.53,106,0.395,39.5,0.145,29,0.775,155,7,8.5
M,0.525,105,0.435,43.5,0.155,31,1.065,213,8,9.5
F,0.52,104,0.405,40.5,0.115,23,0.776,155.2,8,9.5
I,0.235,47,0.16,16,0.04,8,0.048,9.6,5,6.5
I,0.36,72,0.26,26,0.09,18,0.1785,35.7,7,8.5
I,0.315,63,0.21,21,0.06,12,0.125,25,5,6.5
I,0.315,63,0.245,24.5,0.085,17,0.1435,28.7,8,9.5
I,0.225,45,0.16,16,0.045,9,0.0465,9.3,4,5.5
M,0.58,116,0.475,47.5,0.15,30,0.97,194,11,12.5
M,0.57,114,0.48,48,0.18,36,0.9395,187.9,14,15.5
M,0.64,128,0.51,51,0.175,35,1.368,273.6,21,22.5
F,0.56,112,0.45,45,0.16,32,1.0235,204.7,10,11.5
F,0.62,124,0.475,47.5,0.175,35,1.0165,203.3,10,11.5
F,0.645,129,0.51,51,0.2,40,1.5675,313.5,12,13.5
M,0.62,124,0.49,49,0.19,38,1.218,243.6,13,14.5
F,0.63,126,0.48,48,0.15,30,1.0525,210.5,12,13.5
F,0.63,126,0.5,50,0.185,37,1.383,276.6,10,11.5
F,0.63,126,0.48,48,0.16,32,1.199,239.8,11,12.5
F,0.585,117,0.46,46,0.17,34,0.9325,186.5,9,10.5
M,0.615,123,0.48,48,0.18,36,1.1595,231.9,13,14.5
M,0.61,122,0.485,48.5,0.17,34,1.0225,204.5,12,13.5
M,0.58,116,0.45,45,0.15,30,0.927,185.4,14,15.5
I,0.355,71,0.275,27.5,0.085,17,0.22,44,8,9.5
F,0.51,102,0.4,40,0.14,28,0.8145,162.9,10,11.5
M,0.5,100,0.405,40.5,0.155,31,0.772,154.4,12,13.5
F,0.505,101,0.41,41,0.15,30,0.644,128.8,11,12.5
M,0.64,128,0.5,50,0.185,37,1.3035,260.7,16,17.5
M,0.56,112,0.45,45,0.16,32,0.922,184.4,15,16.5
M,0.585,117,0.46,46,0.185,37,0.922,184.4,10,11.5
F,0.45,90,0.345,34.5,0.12,24,0.4165,83.3,9,10.5
M,0.5,100,0.4,40,0.165,33,0.825,165,13,14.5
F,0.5,100,0.4,40,0.145,29,0.63,126,12,13.5
F,0.53,106,0.435,43.5,0.17,34,0.8155,163.1,13,14.5
M,0.42,84,0.335,33.5,0.115,23,0.369,73.8,8,9.5
F,0.44,88,0.34,34,0.14,28,0.482,96.4,9,10.5
I,0.4,80,0.3,30,0.11,22,0.315,63,9,10.5
I,0.435,87,0.34,34,0.11,22,0.3795,75.9,8,9.5
F,0.525,105,0.415,41.5,0.17,34,0.8325,166.5,13,14.5
I,0.37,74,0.28,28,0.095,19,0.2655,53.1,7,8.5
F,0.49,98,0.365,36.5,0.145,29,0.6345,126.9,10,11.5
M,0.335,67,0.25,25,0.09,18,0.181,36.2,7,8.5
F,0.415,83,0.325,32.5,0.105,21,0.38,76,12,13.5
M,0.5,100,0.405,40.5,0.14,28,0.6155,123.1,9,10.5
F,0.485,97,0.395,39.5,0.16,32,0.66,132,14,15.5
M,0.55,110,0.405,40.5,0.14,28,0.8025,160.5,10,11.5
M,0.45,90,0.35,35,0.13,26,0.46,92,8,9.5
I,0.405,81,0.3,30,0.12,24,0.324,64.8,7,8.5
M,0.47,94,0.36,36,0.135,27,0.501,100.2,10,11.5
F,0.415,83,0.305,30.5,0.13,26,0.32,64,8,9.5
F,0.445,89,0.325,32.5,0.125,25,0.455,91,9,10.5
F,0.47,94,0.35,35,0.145,29,0.5175,103.5,11,12.5
F,0.49,98,0.375,37.5,0.15,30,0.5755,115.1,9,10.5
F,0.445,89,0.355,35.5,0.15,30,0.485,97,11,12.5
I,0.425,85,0.38,38,0.105,21,0.3265,65.3,10,11.5
F,0.5,100,0.37,37,0.135,27,0.45,90,9,10.5
F,0.39,78,0.29,29,0.125,25,0.3055,61.1,7,8.5
I,0.365,73,0.27,27,0.085,17,0.205,41,7,8.5
F,0.58,116,0.465,46.5,0.165,33,1.1015,220.3,11,12.5
F,0.53,106,0.415,41.5,0.16,32,0.783,156.6,15,16.5
M,0.555,111,0.445,44.5,0.135,27,0.836,167.2,13,14.5
M,0.565,113,0.44,44,0.175,35,0.9025,180.5,14,15.5
M,0.625,125,0.505,50.5,0.215,43,1.4455,289.1,22,23.5
I,0.275,55,0.215,21.5,0.075,15,0.1155,23.1,7,8.5
I,0.44,88,0.35,35,0.135,27,0.435,87,12,13.5
I,0.295,59,0.225,22.5,0.08,16,0.124,24.8,9,10.5
I,0.075,15,0.055,5.5,0.01,2,0.002,0.4,1,2.5
I,0.13,26,0.1,10,0.03,6,0.013,2.6,3,4.5
I,0.11,22,0.09,9,0.03,6,0.008,1.6,3,4.5
I,0.16,32,0.12,12,0.035,7,0.021,4.2,5,6.5
M,0.565,113,0.425,42.5,0.16,32,0.9425,188.5,17,18.5
I,0.27,54,0.2,20,0.07,14,0.1,20,5,6.5
I,0.23,46,0.175,17.5,0.065,13,0.0645,12.9,5,6.5
I,0.3,60,0.23,23,0.08,16,0.1275,25.5,8,9.5
I,0.33,66,0.255,25.5,0.085,17,0.1655,33.1,8,9.5
I,0.35,70,0.26,26,0.085,17,0.174,34.8,10,11.5
I,0.32,64,0.245,24.5,0.08,16,0.1585,31.7,13,14.5
I,0.36,72,0.275,27.5,0.085,17,0.1975,39.5,9,10.5
I,0.305,61,0.245,24.5,0.075,15,0.156,31.2,7,8.5
I,0.345,69,0.27,27,0.11,22,0.2135,42.7,7,8.5
I,0.33,66,0.25,25,0.105,21,0.1715,34.3,7,8.5
M,0.59,118,0.47,47,0.18,36,1.1235,224.7,13,14.5
F,0.595,119,0.455,45.5,0.155,31,1.0605,212.1,12,13.5
F,0.575,115,0.46,46,0.185,37,1.094,218.8,15,16.5
M,0.6,120,0.495,49.5,0.165,33,1.2415,248.3,15,16.5
M,0.56,112,0.45,45,0.175,35,1.011,202.2,15,16.5
M,0.56,112,0.45,45,0.185,37,1.07,214,19,20.5
M,0.545,109,0.46,46,0.16,32,0.8975,179.5,10,11.5
F,0.635,127,0.505,50.5,0.17,34,1.415,283,15,16.5
F,0.59,118,0.475,47.5,0.16,32,1.1015,220.3,13,14.5
F,0.54,108,0.475,47.5,0.155,31,0.928,185.6,11,12.5
F,0.57,114,0.44,44,0.125,25,0.865,173,12,13.5
M,0.53,106,0.42,42,0.165,33,0.8945,178.9,11,12.5
I,0.245,49,0.195,19.5,0.06,12,0.095,19,4,5.5
M,0.27,54,0.2,20,0.08,16,0.1205,24.1,6,7.5
F,0.46,92,0.38,38,0.13,26,0.639,127.8,11,12.5
M,0.52,104,0.45,45,0.15,30,0.895,179,14,15.5
M,0.35,70,0.275,27.5,0.11,22,0.2925,58.5,8,9.5
M,0.47,94,0.39,39,0.15,30,0.6355,127.1,9,10.5
F,0.45,90,0.36,36,0.125,25,0.4995,99.9,13,14.5
F,0.64,128,0.525,52.5,0.215,43,1.779,355.8,22,23.5
M,0.59,118,0.5,50,0.2,40,1.187,237.4,16,17.5
M,0.62,124,0.485,48.5,0.205,41,1.219,243.8,14,15.5
M,0.63,126,0.505,50.5,0.225,45,1.525,305,15,16.5
M,0.63,126,0.515,51.5,0.155,31,1.259,251.8,13,14.5
M,0.655,131,0.54,54,0.215,43,1.844,368.8,22,23.5
F,0.66,132,0.53,53,0.185,37,1.3485,269.7,12,13.5
M,0.61,122,0.5,50,0.24,48,1.642,328.4,18,19.5
M,0.635,127,0.525,52.5,0.205,41,1.484,296.8,20,21.5
F,0.515,103,0.425,42.5,0.135,27,0.712,142.4,11,12.5
F,0.535,107,0.415,41.5,0.185,37,0.8415,168.3,15,16.5
I,0.36,72,0.285,28.5,0.105,21,0.2415,48.3,7,8.5
F,0.455,91,0.355,35.5,0.12,24,0.4495,89.9,9,10.5
M,0.485,97,0.395,39.5,0.14,28,0.6295,125.9,14,15.5
M,0.515,103,0.38,38,0.175,35,0.9565,191.3,14,15.5
F,0.535,107,0.415,41.5,0.17,34,0.879,175.8,10,11.5
M,0.53,106,0.435,43.5,0.155,31,0.699,139.8,10,11.5
F,0.495,99,0.4,40,0.155,31,0.6445,128.9,17,18.5
M,0.44,88,0.355,35.5,0.125,25,0.4775,95.5,9,10.5
F,0.535,107,0.435,43.5,0.16,32,0.8105,162.1,10,11.5
M,0.54,108,0.435,43.5,0.18,36,0.996,199.2,17,18.5
F,0.565,113,0.505,50.5,0.21,42,1.2765,255.3,12,13.5
M,0.61,122,0.475,47.5,0.165,33,1.116,223.2,15,16.5
F,0.565,113,0.455,45.5,0.175,35,1.013,202.6,19,20.5
M,0.6,120,0.495,49.5,0.195,39,1.0575,211.5,26,27.5
I,0.295,59,0.215,21.5,0.085,17,0.128,25.6,6,7.5
I,0.275,55,0.205,20.5,0.075,15,0.1105,22.1,6,7.5
I,0.28,56,0.21,21,0.085,17,0.1065,21.3,4,5.5
M,0.49,98,0.395,39.5,0.14,28,0.549,109.8,11,12.5
M,0.37,74,0.28,28,0.105,21,0.234,46.8,9,10.5
F,0.405,81,0.305,30.5,0.095,19,0.3485,69.7,9,10.5
F,0.54,108,0.435,43.5,0.175,35,0.892,178.4,13,14.5
M,0.37,74,0.28,28,0.1,20,0.252,50.4,8,9.5
M,0.36,72,0.27,27,0.1,20,0.217,43.4,6,7.5
F,0.47,94,0.36,36,0.13,26,0.472,94.4,10,11.5
I,0.2,40,0.145,14.5,0.06,12,0.037,7.4,4,5.5
I,0.165,33,0.12,12,0.03,6,0.0215,4.3,3,4.5
M,0.645,129,0.515,51.5,0.24,48,1.5415,308.3,13,14.5
M,0.55,110,0.41,41,0.125,25,0.7605,152.1,14,15.5
M,0.57,114,0.435,43.5,0.145,29,0.9055,181.1,10,11.5
F,0.63,126,0.485,48.5,0.19,38,1.2435,248.7,21,22.5
M,0.56,112,0.44,44,0.14,28,0.971,194.2,14,15.5
M,0.595,119,0.455,45.5,0.195,39,1.3305,266.1,19,20.5
F,0.62,124,0.47,47,0.2,40,1.2255,245.1,23,24.5
M,0.63,126,0.485,48.5,0.175,35,1.3,260,23,24.5
I,0.45,90,0.355,35.5,0.11,22,0.4585,91.7,8,9.5
F,0.635,127,0.535,53.5,0.19,38,1.242,248.4,14,15.5
M,0.45,90,0.35,35,0.1,20,0.3675,73.5,10,11.5
F,0.58,116,0.455,45.5,0.155,31,0.8365,167.3,18,19.5
I,0.33,66,0.255,25.5,0.095,19,0.172,34.4,6,7.5
I,0.265,53,0.21,21,0.06,12,0.0965,19.3,5,6.5
I,0.19,38,0.145,14.5,0.04,8,0.038,7.6,4,5.5
M,0.385,77,0.31,31,0.1,20,0.2845,56.9,11,12.5
I,0.265,53,0.205,20.5,0.07,14,0.1055,21.1,5,6.5
M,0.335,67,0.265,26.5,0.105,21,0.222,44.4,7,8.5
I,0.355,71,0.275,27.5,0.09,18,0.251,50.2,7,8.5
I,0.32,64,0.255,25.5,0.1,20,0.1755,35.1,7,8.5
M,0.51,102,0.4,40,0.13,26,0.6435,128.7,12,13.5
M,0.36,72,0.295,29.5,0.105,21,0.241,48.2,8,9.5
I,0.36,72,0.28,28,0.09,18,0.2255,45.1,8,9.5
M,0.5,100,0.38,38,0.155,31,0.5955,119.1,12,13.5
F,0.4,80,0.325,32.5,0.12,24,0.3185,63.7,8,9.5
I,0.3,60,0.22,22,0.08,16,0.121,24.2,5,6.5
I,0.235,47,0.175,17.5,0.04,8,0.0705,14.1,5,6.5
F,0.74,148,0.6,60,0.195,39,1.974,394.8,16,17.5
M,0.62,124,0.465,46.5,0.19,38,1.3415,268.3,11,12.5
M,0.6,120,0.475,47.5,0.19,38,1.0875,217.5,14,15.5
M,0.59,118,0.45,45,0.185,37,1.283,256.6,16,17.5
M,0.62,124,0.475,47.5,0.185,37,1.325,265,13,14.5
F,0.565,113,0.45,45,0.195,39,1.0035,200.7,15,16.5
M,0.575,115,0.455,45.5,0.145,29,1.165,233,14,15.5
F,0.62,124,0.51,51,0.205,41,1.3475,269.5,14,15.5
M,0.62,124,0.465,46.5,0.185,37,1.274,254.8,12,13.5
F,0.505,101,0.375,37.5,0.18,36,0.568,113.6,12,13.5
F,0.46,92,0.425,42.5,0.155,31,0.746,149.2,8,9.5
M,0.49,98,0.39,39,0.14,28,0.707,141.4,13,14.5
F,0.525,105,0.42,42,0.16,32,0.756,151.2,9,10.5
I,0.34,68,0.26,26,0.08,16,0.2,40,6,7.5
I,0.375,75,0.305,30.5,0.115,23,0.2715,54.3,8,9.5
M,0.61,122,0.48,48,0.15,30,1.2,240,14,15.5
F,0.61,122,0.495,49.5,0.185,37,1.153,230.6,8,9.5
F,0.585,117,0.45,45,0.17,34,0.8685,173.7,22,23.5
M,0.57,114,0.46,46,0.14,28,0.9535,190.7,12,13.5
M,0.58,116,0.455,45.5,0.17,34,0.93,186,9,10.5
M,0.635,127,0.515,51.5,0.17,34,1.275,255,16,17.5
M,0.7,140,0.58,58,0.205,41,2.13,426,20,21.5
M,0.675,135,0.525,52.5,0.185,37,1.587,317.4,13,14.5
F,0.645,129,0.525,52.5,0.19,38,1.8085,361.7,18,19.5
M,0.745,149,0.585,58.5,0.215,43,2.499,499.8,17,18.5
F,0.685,137,0.545,54.5,0.18,36,1.768,353.6,16,17.5
M,0.605,121,0.49,49,0.18,36,1.227,245.4,18,19.5
F,0.59,118,0.465,46.5,0.15,30,0.997,199.4,12,13.5
F,0.65,130,0.525,52.5,0.175,35,1.4225,284.5,20,21.5
F,0.6,120,0.48,48,0.15,30,1.029,205.8,16,17.5
F,0.62,124,0.5,50,0.175,35,1.186,237.2,12,13.5
M,0.63,126,0.515,51.5,0.16,32,1.016,203.2,19,20.5
M,0.58,116,0.465,46.5,0.145,29,0.887,177.4,11,12.5
F,0.58,116,0.455,45.5,0.12,24,1.0735,214.7,10,11.5
M,0.63,126,0.49,49,0.18,36,1.13,226,12,13.5
F,0.69,138,0.56,56,0.215,43,1.719,343.8,17,18.5
F,0.65,130,0.545,54.5,0.165,33,1.566,313.2,16,17.5
F,0.66,132,0.565,56.5,0.195,39,1.7605,352.1,16,17.5
F,0.68,136,0.58,58,0.2,40,1.787,357.4,19,20.5
F,0.7,140,0.575,57.5,0.17,34,1.31,262,14,15.5
M,0.685,137,0.52,52,0.15,30,1.343,268.6,13,14.5
F,0.675,135,0.545,54.5,0.195,39,1.7345,346.9,20,21.5
M,0.63,126,0.49,49,0.19,38,1.1775,235.5,11,12.5
F,0.585,117,0.45,45,0.16,32,1.077,215.4,10,11.5
M,0.565,113,0.465,46.5,0.175,35,0.995,199,15,16.5
F,0.61,122,0.495,49.5,0.185,37,1.1085,221.7,12,13.5
M,0.605,121,0.47,47,0.18,36,1.1405,228.1,15,16.5
M,0.535,107,0.42,42,0.145,29,0.791,158.2,10,11.5
M,0.485,97,0.4,40,0.135,27,0.663,132.6,10,11.5
M,0.47,94,0.375,37.5,0.12,24,0.5565,111.3,12,13.5
M,0.545,109,0.425,42.5,0.135,27,0.8445,168.9,10,11.5
F,0.455,91,0.37,37,0.105,21,0.4925,98.5,9,10.5
M,0.54,108,0.42,42,0.155,31,0.7385,147.7,12,13.5
M,0.46,92,0.38,38,0.135,27,0.482,96.4,10,11.5
M,0.49,98,0.42,42,0.125,25,0.609,121.8,14,15.5
I,0.465,93,0.375,37.5,0.12,24,0.471,94.2,9,10.5
I,0.415,83,0.325,32.5,0.1,20,0.3215,64.3,10,11.5
M,0.475,95,0.375,37.5,0.125,25,0.593,118.6,10,11.5
F,0.47,94,0.375,37.5,0.125,25,0.5615,112.3,10,11.5
